image_name,caption_number,caption
16158623.jpg,0,"There are two men on a ladder one is at the top handing down to the other guy the number "" O "" as this what they do for a living ."
1616086463.jpg,0,"a "" The Human Shop "" display in a public area such as a mall or airport , with four people , 3 females and one male , all wearing black with chains around their wrists , two of the females are sitting and the other with the male are standing , with a green sign in white lettering explaining what it is on the top and bottom for more information ."
1616086463.jpg,1,"Four people standing in an enclosure with a sign that says , "" The Human Shop "" on it ."
1626116016.jpg,1,"An older man with a "" slow "" sign smiles at the camera ."
166283675.jpg,0,"Several people , including a shirtless man and a woman in purple shorts which say "" P.I.N.K. "" on the back , are walking through a crowded outdoor area ."
167452748.jpg,1,"A man in a plaid shirt and blue jacket is handing out copies of the "" New Testament "" ."
170717653.jpg,0,"Only the letters "" AND "" are clearly visible as the little boy in the red shirt leans out the window below ."
170876266.jpg,0,"Three dark complected ladies sitting on a bench in front of a yellow ceramic tiled wall , with the name "" Jane "" on the wall or superimposed onto the image above them ."
170876266.jpg,1,"Three women are sitting on a bench under letters that spell out the name "" JANE "" ."
1733595275.jpg,0,"A police officer wearing dark pants , a long-sleeved blue shirt , white gloves , a white hat , and an orange "" TRAFFIC "" vest is standing in the street directing vehicles ."
1733825113.jpg,0,"Several people , some with umbrellas , milling about on an urban street near a white building with a mailbox and newspaper boxes in front of it , and a street sign that says "" Park Ave "" ."
176673870.jpg,0,"An older , white woman stands along a crowded street wearing a swimsuit , holding a yellow sign with black letters that states , "" Secure Borders , Legal Immigration . """
179172576.jpg,2,"Three men in military uniforms and one man in a shirt that says "" Canada "" are cutting a ribbon ."
179620911.jpg,1,"A group of people in front of a "" canal "" listening to live music ."
1802509657.jpg,0,"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" ."
1802509657.jpg,1,"A man in a black shirt appears to be jumping in the air holding two boards with a sign saying "" stomp "" in the background ."
1803631090.jpg,3,"A woman is dressed in a "" fire department "" uniform ."
180476372.jpg,0,"A street with a store that has a sign outside of it reading "" Bleecker Street Records "" ."
1812525037.jpg,3,"Two little kids in strollers have face makeup on like the band "" Kiss "" ."
1820795682.jpg,0,"A dark-haired woman in a black , sparkly outfit is cheering in front of a yellow banner that says "" Cheer "" ."
182396080.jpg,0,"Some sort of outdoor event with a clown wearing a name tag that says "" Toodles "" ."
1827287777.jpg,1,"A bearded man wearing glasses and a "" tool "" t-shirt uses a laptop while two guys converse behind him at another table ."
182897345.jpg,0,"Four men dressed in Chicago Cubs shirts are walking while wearing brown bags over their heads that spell out "" C-U-B-S. """
182897345.jpg,3,"Cubs fans have paper bags on their heads that spell out "" CUBS. """
1844580277.jpg,0,"A baseball player with "" Tulowitzki "" on the back of his shirt is catching a ball thrown by a man in a black jacket ."
1859726819.jpg,0,"A woman wearing heavy makeup stands in front of a store with a neon sign saying , "" Red Light . """
1860543210.jpg,0,"A man with long hair is making an "" OK "" sign with his hand while he walks down a street ."
195140746.jpg,0,"A man stands near a street in a suit with a sign saying "" Stop raping my wife ! """
195546059.jpg,0,"A man wearing a white short-sleeve shirt is standing in front of an elevator shaft with a sign above him that reads , "" Elevator shaft . """
2003663004.jpg,0,"A football player wears a green jersey with the number "" 4 "" on it ."
202233774.jpg,1,"A lady sitting in a chair is inflating a child 's "" Hulk "" toy ."
205038743.jpg,1,"A white man in a yellow shirt that says "" Glass Collector "" is pulling very hard on a very large rope ."
2071273039.jpg,0,"People riding a public transportation bus line "" A "" , covered in a sweater advertisement , look out the windows ."
2082620071.jpg,0,"A woman in a blue winter coat and a person in a black winter vest are crossing the street when the "" Do n't Walk "" sign is lit ."
2101068655.jpg,0,"A young woman with a sign saying "" free hugs "" is hugging a man in a denim jacket ."
2101068655.jpg,2,"A person holding a "" Free Hugs "" sign , hugs another person ."
2101068655.jpg,3,"A man hugging a woman holding a "" free hugs "" sign ."
2115524376.jpg,0,"A group of women wearing shirts that say , "" HSBC "" is standing by a table with food on it ."
2119380659.jpg,1,"A mother and her baby in his "" First Christmas "" outfit ."
2133650765.jpg,0,"A young boy jumping into a pool that says "" no diving "" ."
2164018393.jpg,0,"Several children are playing on a "" Moon Bounce , "" with one child in the foreground and a supervisory adult in the background ."
218096711.jpg,0,"A small blond girl sits in bed looking at book that has the words "" Crash ! Bang ! Boom ! "" on the front of it while she holds a cup in her other hand ."
2195887578.jpg,1,"The two men wearing ties stand in front of the "" Sound of Kildare "" bus ."
2204677106.jpg,0,"Overly dramatic couple pose for a picture where an "" angry "" man "" chokes "" a woman who sticks out her tongue ."
222141960.jpg,1,"A young Indian boy holding up two newspapers with a headline on "" Murder "" ."
2242676214.jpg,0,"2 man and 1 boy is showing their books which has something to deal with "" passport "" ."
2252722473.jpg,0,"A person in heavy clothing and a plastic "" hood "" around the neck carries a second plastic bag in front of a large stone column ."
2255685792.jpg,0,"Three people in skiing gear are standing behind a "" no skiing "" sign ."
2255685792.jpg,1,"Three individuals are posing on skis behind a "" no skiing "" sign ."
2282530092.jpg,1,"A girl reading "" to Kill a Mockingbird "" while reclining on a couch ."
2282530092.jpg,2,"a young girl reading a literary classic "" to kill a mockingbird "" ."
2282530092.jpg,3,"Young lady laying on couch reading "" TO KILL A Mockingbird "" ."
2302516347.jpg,0,"A man and a woman look at pictures on a machine marked "" other people 's photographs . """
230819485.jpg,0,"A man prepares to throw a blue ball at a stack of blocks in a carnival game ; a display with the word "" Blockbuster "" is visible behind the game , as well as a variety of stuffed animals ."
2308322210.jpg,2,"A man shakes hands with a mannequin and gives it a "" thumbs up "" sign ."
2315973850.jpg,0,"A man in a white polo shirt speaks into a microphone with a sign behind him that reads , "" Truth ! """
2315973850.jpg,1,"A man singing into a microphone with a large "" Truth "" banner behind him ."
2316854039.jpg,2,"Four adult men doing "" air guitar "" in the woods ."
2322675642.jpg,0,"A woman in a colorful sweater is playing with a toddler and a lego-built structure that includes a crane , a helicopter that says "" harold "" on the side and a train with train tracks ."
2324804923.jpg,0,"A man with a sign in front of him that reads "" Deleon "" sits at a microphone ."
2331755236.jpg,2,"A man with a thin beard and brown jacket plays "" Guitar Hero "" in a crowded room ."
2332975167.jpg,0,"Man seated in a uniform that says "" Polizes "" on the shoulder looking out a window with a clipboard , some papers , and a computer in front of him ."
2338572904.jpg,1,"A man with a blue "" atomic "" ski board standing on a hill ."
2349785157.jpg,3,"People testing the gaming console called the "" Wii "" ."
2363029863.jpg,1,"A yong woman peruses available magazines while in the waiting room decorated with Vincent Van Gogh 's "" Sunflowers "" ."
2365721660.jpg,1,"An all-female band plays drums and guitar on a stage , in front of a banner reading "" Screaming Orphans . """
2366296895.jpg,0,"A man sits talking into a microphone in front of a sign , part of which says the word "" policy "" ."
2375872999.jpg,0,"A white-haired , bearded man stands leans against a low wall next to a red cylinder reading "" clearance . """
2376694294.jpg,0,"A boy in a swimming pool , wearing goggles , gives the "" two thumbs up "" sign ."
238062992.jpg,2,"A man in blue jeans walks by a brick wall and a gate painted with the sign "" KEEP CLEAR 24 HOURS "" ."
2392460773.jpg,3,"A boy making an "" oh ! "" face in front of a bay ."
2401530530.jpg,2,"A cowboy in a rodeo riding in the "" Bucking Bronco "" contest ."
241345427.jpg,1,"A football player wears a jersey wuth the number "" 4 "" on it ."
2442581927.jpg,1,"A man in glasses and a helmet "" extreme bicycling "" for exercise ."
2449552677.jpg,0,"A person with a brown hat and black jacket is in a wheelchair crossing in front of a sign that says "" park "" ."
2451253577.jpg,0,"A man pulls a rope that is attached to a floating boat marked "" Avocet Market Drayton "" ."
246300869.jpg,1,"A group of people are walking toward a sign that reads "" The Deep End "" ."
246300869.jpg,4,"People stand in front of a sign that says "" The Deep End . """
2467362256.jpg,0,"A black man and a white woman , both wearing maroon shirts , are holding a sign between them that reads "" Maritime workers say stop black deaths in custody "" in all caps ."
2467362256.jpg,1,"A colored man and a young blond , both dressed in jeans and maroon t-shirts , carry a banner which reads , "" Maritime workers say stop black deaths in custody . """
2467362256.jpg,3,"A group of people holding a sign that says "" Maritime workers say stop black deaths in custody "" ."
247097023.jpg,0,"A man is standing on rocks , which are inscribed with the phrase , "" life is short "" on the side ."
247097023.jpg,1,"A man in black standing on a rock with the phrase "" life is short "" spray painted on it ."
247097023.jpg,2,"A man wearing a black shirt is standing on top of a rock that says , "" life is short "" ."
2477900423.jpg,1,"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person ."
2484380735.jpg,0,"A man driving a red and black go-kart with number "" 11 "" on it ."
2490863987.jpg,0,"A man holds a sign outside a hotel that reads "" Ok Ok Ok , I need money for beer , pot and a hooker . """
2500720722.jpg,0,"Pedestrians walk by a person set up in front of a business in New York called "" Globe-Slicers . """
2504007911.jpg,0,"A man uses a bicycle to transport a sight that says "" Lovely , "" while another man on a motor scooter drives by ."
2504007911.jpg,1,"A bicyclist passes with a giant sign that reads "" lovely . """
2504007911.jpg,3,"A long , green board that has "" lovely "" written on it ."
2506050069.jpg,0,"A toddler wearing tan jeans , shoes , and a blue and black striped t-shirt emblazoned with the words "" Adventure Island "" , is sitting cross-legged on the ground , digging at the soil with his fingers and a hand rake ."
2508024651.jpg,0,"On a city street , a drag queen wearing a polka-dot outfit and fishnet stockings offers Tropicana orange juice from a red plastic tray to a young woman in a white jacket and blue jeans ; in the background , several young men wear blue jeans and white t-shirts marked with the word "" volunteer . """
2508838358.jpg,0,"A large crowd of people are outside and a big sign reads "" AIDS WALK "" in the background among trees ."
2508838358.jpg,2,"A large crowd under green trees and a banner that says "" AIDS Walk "" ."
2512905710.jpg,0,"A woman with a "" taxi "" sign on her head and a yellow vinyl shirt walks in a parade ."
2514612680.jpg,0,"People walking through a short tunnel with "" Where are you ? "" written on the wall ."
2514612680.jpg,1,"A man walks under a bridge and reads grafitti that reads "" WHERE ARE YOU "" ?"
2514612680.jpg,2,"A man with a cigerette walks past graffitti which says "" Where are you ? """
2514612680.jpg,3,"A man is walking next to a wall with "" Where are you ? "" painted on it ."
2514612680.jpg,4,"A man walking reads a wall asking "" Where are you ? "" ."
2516317118.jpg,0,"Toddler in pajamas plays with paper cutouts of the letter "" P "" ."
2516317118.jpg,1,"A toddler sticks paper "" P "" letters to a wood paneled wall ."
2516317118.jpg,2,"A small child is playing with cut-outs of the letter "" P. """
25166900.jpg,0,"An African American woman donning a black t-shirt with the text "" your daily cup "" works behind the counter of a coffee shop ."
25166900.jpg,1,"A black woman wearing a "" your daily cup "" t-shirt and making espresso ."
2521048583.jpg,0,"People wearing glasses and shades are walking , while a man in a black shirt with the word "" Qualified "" on it is facing them ."
2521048583.jpg,1,"There are people in an open space and there is a boy in a black t-shirt with the word "" Qualified "" on the back ."
2526989006.jpg,1,"A couple kissing at their wedding after saying , "" I do "" ."
2529226054.jpg,4,"A wall with gray and green checks has a writing "" Sex "" ."
2536850983.jpg,0,"A group of men in orange safety vest and yellow hard hats is inspecting a subway system with a LED sign saying "" Trains to Wembley Park and Stanmore Please wait for information "" ."
2537034263.jpg,0,"A group of various people stand outside of a store called "" Central Market . """
2544192243.jpg,2,"An architect hammers a nail ; his hard hat reads "" emergency architects . """
2546149002.jpg,3,"A woman dressed in all red is making a "" rawr "" face and a claw imitation with her hand ."
2554929458.jpg,1,"At a little league baseball game , an umpire calls "" safe "" as a player crosses home ."
2562377955.jpg,0,"A boy in an orange "" Spring Hill "" ball team uniform , pitching the ball ."
2569653795.jpg,0,"Man getting something out of a bag in front of a "" road closed ahead "" sign ."
258083997.jpg,1,"Shirtless man wearing rollerskates in a large crowd with a sweat towel that reads "" just love me "" ."
258083997.jpg,2,"A man is skating with his t-shirt tucked in his back pant which says "" Just Love me "" ."
2588912438.jpg,1,"A man and woman sit holding a sign reading "" It 's a nice day for a Gay Wedding . """
259611216.jpg,1,"A young child enjoys playing in a car that features the cartoon character "" Barney . """
2596293451.jpg,1,"A man dressed in red plaid shirt crouches next to a sign that reads "" Crooked Run "" ."
2600065074.jpg,0,"A man with a beard and glasses is wearing a jersey with the number "" 13 "" on the back ."
2607383384.jpg,1,"Several women , wearing pink "" Energizer "" bunny ears , point to the right ."
2609082055.jpg,3,"A crowd hangs out in front of a pink "" finish "" sine ."
2611062891.jpg,1,"A blond woman numbered "" 3443 "" runs in the street past a blue building ."
2612488996.jpg,0,"A man holds a sign reading "" HOMELESS ANYTHING HELPS "" near a construction site ."
2616284322.jpg,0,"The racing dog with the "" 4 "" jersey surges ahead of the dog with the "" 5 "" jersey ."
261883591.jpg,0,"Man with hard hat in black jacket stands near a green trailer that says "" CHINA SHIPPING "" in a construction zone ."
264141937.jpg,0,"A woman wearing dollar sign glasses , holding a dollar bill , stands with a suitcase that says "" Lucky "" that is overflowing with cash ."
264141937.jpg,1,"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled "" LUCKY "" full of bills ."
2644348489.jpg,0,"Two men and two women are in a living area playing the video game "" Rock Band . """
2653809100.jpg,1,"A shirtless child plays on a "" horse "" swing made out of rubber while holding a woman 's hand ."
2653853997.jpg,0,"A young boy wearing a blue "" 24 "" sports shirt , a girl sipping a juice box and a plastic container with peanut butter and jelly sandwiches ."
2657844508.jpg,1,"Two people sit at a table with wine in front of them , and a sign with a fish reading : "" IL PORTO "" behind them ."
2667080272.jpg,0,"A smiling man with black hair , is wearing a light orange shirt and tie , and sunglasses is eating a meal , drinking a Corona Extra , and giving the "" hang loose "" sign with one of his hands ."
2667080272.jpg,1,"A man in a yellow tie and shirt is making the "" hook 'em horns "" sign ."
2671167487.jpg,0,"A woman on a boat named "" El Corazon "" drops black weights into the water ."
2671880562.jpg,1,"A man in a white "" staff "" shirt on the floor ."
2679382388.jpg,1,"A youth with a black shirt that says "" Asian Pacific 2007 "" plays a drum while sitting ."
269444846.jpg,0,"A sign indicates "" Dangerous Shorebreak "" on an overcast day while several people hang out on the beach ."
269444846.jpg,2,"People on a beach and a sign that says "" dangerous shorebreak "" ."
2697909987.jpg,0,"A man wearing a shirt that says "" Gigolo "" is standing at a front desk area with his back to the camera ."
2697909987.jpg,1,"A man wearing a t-shirt that says "" Gigolo "" stands at the counter talking to someone ."
2697909987.jpg,4,"A young man in a "" GIGOLO "" shirt at a reception desk ."
2705923970.jpg,0,"A younger girl holds up a yellow "" Free Car wash "" sign along the edge of a road ."
2705923970.jpg,2,"A woman holds a "" car wash "" sign on the edge of a quiet street ."
2709275718.jpg,1,"A man with a Mohawk and a shirt saying "" -ependent "" faces the camera"
2714674623.jpg,0,"Man wearing hat and t-shirt with "" Genetic Freak "" sleeping on public transportation ."
2714674623.jpg,2,"A man with a black shirt that says "" Genetic Freak "" is sleeping on a bus ."
2716251485.jpg,2,"A man walks by a red telephone booth that says , "" ring ring "" ."
2718184776.jpg,1,"A group of people converse in front of a building with the words "" legalize LA """
2721132879.jpg,0,"A boy wearing a white shirt that says "" Make Some Noise "" is eating food off of a fork and making a funny face with his head tilted to the side ."
2721132879.jpg,1,"A guy in a Nike shirt that reads "" MAKE SOME NOISE "" tilts his head sideways as he eats ."
2724485630.jpg,1,"Two blond women in "" I love beer "" shirts walk outside ."
2726301121.jpg,1,"A blond-haired girl wears a tank-top that says "" Thank You "" and sports a large tattoo ."
274917606.jpg,1,"An African American man is leaning against a truck with a parasol that says "" New Amsterdam . """
2764045948.jpg,0,"A person with a red had is carrying ice cream in a tray on their head in front of a building that has the word "" CAMARA "" painted on the side in blue ."
276638308.jpg,4,"A man plays a tuba next to a shop called , "" free spirit . """
2768425771.jpg,0,"A man standing in front of a Verizon truck wearing a shirt that says "" money talks "" , and drinking a bottle of water ."
2768425771.jpg,1,"A man wearing a shirt that says "" money talks "" is drinking water while leaning against a Verizon truck ."
2768425771.jpg,4,"A man drinking water with a black shirt on that reads "" money talks "" ."
2785408815.jpg,1,"A doctor is wearing a t-shirt saying "" smile "" under his lab coat upon smiling ."
2807030070.jpg,1,"An older man in a blue suit is walking out of a building with the name "" Grace "" on the front of it ."
2815256108.jpg,0,"Two men are talking on the street ; one is pointing at a sign that says "" Jesus or Hell "" beneath a red box , and the other is standing there listening ."
2815256108.jpg,2,"Two men are standing beside a sign that says "" Jesus or hell "" ."
2815256108.jpg,3,"Two men discuss a sign that says "" Jesus or Hell "" ."
2826039666.jpg,2,"A construction worker stands in front of a red truck which has the word "" hot "" on the side ."
2881644926.jpg,0,"Two middle-aged men working out in a fitness room , with one of the pieces of exercise equip proclaiming "" back pain relief . """
2899549022.jpg,0,"Four women dance together at an "" Aloha "" party at someone 's home while a man in a blue t-shirt stands nearby ."
2922668858.jpg,1,"Two men and a woman are performing on stage in a "" Thomas the Tank Engine "" play ."
292354399.jpg,0,"A woman with a yellow "" Miller "" bag has her hand on a seated man , while another woman with the same type yellow "" Miller "" bag is standing close to them ."
2924305507.jpg,0,"An athlete is running down the road with the number "" 12 "" taped to the front of his shirt ."
2933516096.jpg,0,"A group of people protesting on the sidewalk holding a sign that says "" time to break the silence "" ."
2933637854.jpg,1,"A man in an orange jersey with the letter "" 12 "" on it plays football ."
2934801096.jpg,0,"Two young men , one smoking , walk past a large sign that uses orange stars to spell "" HELL "" ."
2934801096.jpg,1,"Two people stand next to a sign that says "" HELL "" made out of stars ."
2934801096.jpg,3,"A man and a boy standing in front of a sign that says "" HELL "" ."
2939116460.jpg,0,"Blond-haired girl wearing a bicycle helmet , a black t-shirt that reads "" Twizzlers "" and a printed dog tag necklace around her neck ."
2939116460.jpg,1,"A blond-haired girl is putting on a bike helmet with a sticker that reads "" cool cats "" displayed on it ."
2940831473.jpg,0,"A man with the name tag "" Chris "" who is wearing a blue shirt with blue-white striped tie , presses his hand at his forehead ."
2952887435.jpg,0,"A group of young people with white "" Volunteer for Parks "" t-shirts gathers under an awning ; a blond with a ponytail and green hat is in the foreground ."
2952887435.jpg,2,"A group of girls wearing "" Volunteer for Parks "" t-shirt are standing outside a building ."
2954965644.jpg,0,"A man with an afro and wearing a blue t-shirt is playing an "" axe throw "" game that requires him to throw small axes at targets that resemble steer heads ."
297535592.jpg,0,"A group of people watch a street concert taking place on a stage with large "" Zune "" advertisements ."
297535654.jpg,1,"A band is playing in front of a sign that reads "" Zune "" ."
2975845158.jpg,0,"A boy and girl ride in the front of a small train labeled "" Mississippi Train "" ."
299357456.jpg,2,"A young man wearing an "" Ozzy "" shirt is staring at some eggs and toast sitting on the table ."
2998277360.jpg,1,"Older woman in yellow jacket , holds sign saying "" DOWN AND OUT "" in urban area ."
2998277360.jpg,2,"A man in a yellow slicker holds a sign saying "" down and out "" ."
3001353.jpg,0,"Several people walking around outside with a banner for "" Gourmet Curry Hut "" in the background ."
3004291289.jpg,2,"A young women wears an "" Obama "" t-shirt ."
3009524142.jpg,1,"Two men sitting in front of an "" Etowah Valley Game Preserve "" sign ."
3015891201.jpg,0,"Two costumed women holding a poster entitled "" prom night "" ."
3015891201.jpg,2,"two women hold up a flyer for the movie "" prom night "" ."
3030079705.jpg,1,"The little girl tackles a man and makes the universal sign for "" Touchdown ! """
3047264346.jpg,1,"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire ."
305749904.jpg,0,"A man is wearing a shirt that reads , "" Mambo "" with an image of a baby and a teddy bear ."
3085590738.jpg,0,"A blond woman speaks at a podium labeled "" Holiday Stars Project "" in front of a blue wall that says "" University of Illinois Springfield "" ."
3093357135.jpg,3,"A man with a bright yellow jacket is riding a motorcycle labeled "" police . """
3093533301.jpg,0,"A line of protesters are walking in the street , holding signs that say "" Our Children , Our Future "" ."
3093715621.jpg,0,"Many people are outside walking while holding protest signs , the most prominent sign reading "" save our schools . """
3093715621.jpg,2,"Protesters with a sign reading "" ASTI , Save Our Schools "" march outside ."
3096163135.jpg,0,"A child wears three "" rock out hands "" held together by sunglasses on his head ."
3099091086.jpg,3,"Protesters with "" NO NEW COAL "" signs in urban area ."
3100251515.jpg,0,"A large "" green "" peaceful protest is taken to the streets ."
3102521400.jpg,1,"A man smokes while leaning against a pillar , which has a "" missing person "" flier posted on it ."
3107513635.jpg,4,"A train station says "" tychy miasto """
314739483.jpg,0,"An African-American male wearing black shoes carrying a black bag walks along a yellow wall with the words "" E.S.E. Electronics "" painted on it ."
314799867.jpg,0,"A man is wearing a black knit "" Paris "" hat and a navy blue shirt on the side of the street ."
3158933877.jpg,0,"A man standing at a podium with a mike in front of him with a banner behind him reading "" The Cooper Union . """
3168742591.jpg,1,"A large group of people are playing the game "" twister "" in a large room ."
3169213620.jpg,0,"A toddler dressed only in a pamper is sitting on the floor playing with 4 "" car "" pieces to a train set ."
3170713647.jpg,0,"A man is reading a newspaper underneath a green flag that says , "" La suma de todos "" ."
3179287118.jpg,1,"A boy blows out a candle on a cake with a penguin labeled "" Happy Birthday , Quinn . """
3183883750.jpg,0,"Two people pose for a picure holding a card that says "" know what this is ? """
3183883750.jpg,2,"two girls hold up a card reading "" know what this is "" ?"
3186668412.jpg,0,"A man in a black shirt displaying the text "" Enrolling Stones "" plays a keyboard ."
318667317.jpg,0,"A homeless man carries a sign that says "" hungry "" ."
3191027142.jpg,0,"A man in a crowd holds a sign that says "" Those who blame Israel are hypocrites . """
3201637996.jpg,0,"A man with a black vest makes the "" rock on "" sign at a concert ."
3205882067.jpg,1,"A child with shaggy , straight , sandy-blonde hair holds up a misspelled sign reading "" Radeo "" next to a radio-making kit ."
3205882067.jpg,2,"A young boy holds up a sign displaying his "" radeo "" , which he built out of toys ."
3205882067.jpg,3,"A young boy is holding a paper , which says "" Radeo "" , above his homemade radio ."
3222749441.jpg,2,"Three people wearing black blindfolds near a "" Salvar O Planeta "" sign ."
3223349085.jpg,1,"A man with a name tag that says "" Jim "" is knitting ."
3223459435.jpg,0,"A woman wearing a red vest is sitting in a tent with the words "" DiPAOLA TURKEY FARM "" written on it"
3231276002.jpg,1,"Man with cupcakes and coffee contemplating the statement "" who are you ? """
3231276002.jpg,2,"A man in glasses writes the message "" Who are you ? "" on a notepad ."
3231276002.jpg,3,"Man at a table writing a note that reads "" Who are you ? """
3231276002.jpg,4,"A man wrote "" who are you ? "" ."
3231575742.jpg,2,"A kid crosscountry skis wearing the number "" 93 "" ."
3244586044.jpg,3,"A dog wearing a number "" 8 "" races on a track ."
3251706225.jpg,0,"A man working behind an area marked off with "" caution "" tape at a train station ."
3252050544.jpg,1,"A blue "" thing "" costume gathered around a bunch of people sitting on bleachers clapping ."
3259228898.jpg,0,"A man with a "" Backyard Babies "" has a black box in front of him and a crowd on chairs behind him ."
327142149.jpg,4,"lady helping clean a "" dirty "" floor"
3277834387.jpg,0,"A lone person in a long , black trench coat and scarf and carrying a red bag goes past an apparently-closed cafe at night , with the text "" CAFE DE FLO "" visible on the cafe canopy banner ."
3280644151.jpg,0,"A halway has a sign that says "" PORT DU CASQUE OBLIGATOIRE "" and some graffiti ."
3286543624.jpg,0,"An Asian girl makes a surprised face while wearing a shirt that says "" Radio """
3286761458.jpg,1,"Two people with signs reading "" Free Hug "" are staring with people nearby ."
3286761458.jpg,4,"Two women with signs that say "" Free hugs "" ."
3301935788.jpg,0,"A person in a white coat and pink pants snowboards at the "" snow park "" ."
